,age_category,Unnamed: 0,Age,Monthly_Inhand_Salary,Total_EMI_per_month,Annual_Income,Amount_invested_monthly,Avg_Monthly_Salary,SC_Monthly_Inhand_Salary,SC_Total_EMI_per_month,SC_Annual_Income,SC_Amount_invested_monthly,SC_Avg_Monthly_Salary
0,0-19,6344.0,17.0,2794.364167,180.91072270000004,37777.92,259.09967958416667,3148.16,1.0,5.0,1.0,1.0,1.0
1,20-29,6185.5,25.0,3131.175417,151.89682865,42104.17,315.69051850875,3508.680833333334,2.4920703198024743,2.960313952587427,1.7702476543165915,2.805650522510799,1.7702476543165933
2,30-39,6193.0,35.0,2998.3358335000003,153.14484441333332,41546.255,315.49097266416663,3462.1879166666668,1.9035923522901896,3.0480498605987787,1.6709161963430477,2.7992835898873576,1.6709161963430494
3,40-49,6289.0,44.0,3189.168333,142.14018174999998,44822.21,328.42021572,3735.1841666666664,2.7489783319974297,2.2744185496068265,2.2541688179892105,3.211818461663098,2.2541688179892105
4,50+,6436.0,53.0,3697.300833,124.011977745,60244.72,384.463559735,5020.393333333333,4.999999999999998,1.0,5.0,5.0,5.000000000000001
